3-d;"3-D"
thin;"teaa"
thousand;"apem"
thousands separator;""
thread;"Ntoasoɔ"
threshold;"trɛhyholde"
thumb nails;""
thumbnail;"mfoniwaa"
thumbprint;""
thunderbird email;""
thursday;"Yawda"
tick;"twa"
ticker properties;""
tiff;"TIFF"
tight;""
tilde;"tilde"
tile;"taele"
tilt;"Kyea"
time and date;""
time format;""
time limit;"Mrɛ tenten bi"
time out;""
time remaining;"mmere nkae"
time servers;""
time setting;""
time stamp;""
time zone;""
time;"bere"
timed out;"Atwa mu"
timeout / time out;"Atwa mu"
timeout;""
timer;"taema"
timestamp;"Taem stampo"
timezone;""
timing;"bere nseseɛ"
tint;"tinte"
tiny;"ketewaa"
tip;"nteho"
tips and tricks;"ntrekese ne asotire"
tips;""
title bar;"taetil baa"
title case;""
title;"Ti asɛm"
to do;"bɛ yɛ"
today;"ndɛ"
todo list;""
toggle button;""
toggle;"tuugle"
token;"mproprowa"
tolerance;""
tomboy notes;""
tomorrow;""
tone;"anoɔden"
tongue-out;""
tool bar;""
tool box;""
tool menu;""
tool;"tuul"
toolbar button;""
toolbar editor;""
toolbar style;""
toolbar;"tuulbaa"
toolbars;""
toolbox;""
toolkit;""
tools;""
tooltip;"tuultipo"
top secret;""
top to bottom;""
top-level;"akɛseɛ mu"
top;"soro"
topic;"tɔpik"
topology;""
torus;""
total;"dodoɔ"
totem movie player;""
touchpad;"takypade"
touchscreen;"takyskreene"
trace;"di akyire"
track;"hwɛ"
trackball;""
trademark;"ahyɛnso"
traditional;""
traffic;"traffike"
transaction;"nsawɔsoɔ"
transfer statement;""
transfer;"mane"
transferable;"tumi de mane"
transferred;"Fa mane"
transferring;"Fa mane"
transform;"sakra"
transformation;"Nsakrae"
transition;"Nsakrae"
transitive;""
translate;"kyerɛ ase"
translated;"kyerɛɛ aseɛ"
translation;"asekyerɛ"
translator;"asekyerɛfo"
transmission channel;""
transmission;"nsoma"
transmit;"soma"
transparency;"fan"
transparent;"krɔgee"
transpose;""
trap;""
trash can;"bɔla"
trash;"bɔla"
tree;"dua"
treeview;""
trial period;"Nsɔhwɛ mmere"
trial;"nsɔhwɛ"
triangle;"traeangle"
trigger;"Ensi"
trim;"twa ho"
tristate;""
trouble shoot;""
troubleshoot;"yi haw"
troubleshooter;"haw yifoɔ"
troubleshooting;"reyi haw"
true color;""
true;"nokware"
truncate;"twa so"
truncated;"etwa so"
trust;"gye di"
trusted;"agye edi"
try again;"san sɔ hwɛ"
try;"bɔ mbɔden"
tty;""
tuesday;"Benada"
tune;"tuun"
tuner;"Teuna"
turing machine;""
turquoise;""
tweak;"Nsakyerae"
twip;""
type (noun);""
type (verb);""
type bindings;""
type face;""
type mismatch;""
type;"bɔ"
typeface;"typfaase"
typing;"retaep"
typography;""
ultrabold;""
ultracondensed;""
ultraexpanded;""
ultralight;""
unable;"ntumi"
unacceptable;"wɔngye ntom"
unauthorized;"wɔmmaa kwan"
unavailable;"ɔkwan nna ho"
uncheck;"nnhyɛ-nsew"
uncompressed;"wɔnkɔmprɛsee"
undecided (smiley);""
undefined;"nkyeraase"
undelete message;""
undelete;"ɛmpepa"
under line;""
underline set;""
underline;"san ase"
underlined;"saan ase"
undo;"nnyɛ"
undock;""
unencrypted;"nsieɛ"
unexpected end;""
unexpected error;""
unexpected;"nhwɛɛ anim"
unexpectedly;"ani nnaa so"
unfilled;"nyɛɛ ma"
unformatted;"nsiesieɛ"
ungroup;"yi nkabɔmu din"
unicode;"Unikood"
uniform resource identifier;""
uniform resource locator;""
uninstall (program);""
uninstall;"yi-instɔl"
uninstalling;"reyi-instɔl"
union;""
unique;"da mu fua"
unit;"yunit"
unitary;""
universal access;""
universal;"akwan nyinaa so"
unix;""
unknown command;""
unknown error;""
unknown host;""
unknown value;""
unknown volume;""
unknown;"woana-so-ni"
unlimited;"damu faan"
unlink;"yi lenke"
unload;""
unlock;"ma ɛmmue"
unlocked;"abue"
unmark;"yi ahyɛnsode"
unmatched;""
unmount;""
unnamed;"enni din"
unpack;""
unprotect;"yi banbɔ"
unreachable;"nni hɔ"
unread;"nkaee"
unreadable;"ntumi nkan / nhwɛ"
unready;""
unrecognized;"nhu ade koro"
unsafe;"ho-nntew"
unsaved document;""
unsaved;"nnsiei"
unselect;"mma mmfa"
unsent;"nnkɔe"
unshade;""
unsigned;"nntim so"
unsorted;"nnhyehyɛe"
unspecified;"nnkyerɛe"
unsubscribe;"nnkyerɛw-din"
unsuccessful;"annyɛ yie"
unsupported;"nnsuo-mu"
untitled document;""
untitled;"nni din"
untrusted;"nngye nndi"
unused;"nnmfa nnyɛ hwee"
unvisited;"nnsrae"
unzip;"nnzip"
up arrow;"soro egyan"
up-to-date;"ɛnkyɛe"
up;"soro"
update;"to so"
updated;"atoso"
updating;"retoso"
upgrade;"pagya kɔ anim"
upgrading;"repagya akɔ anim"
upload;"pia-kɔ"
uploaded;"epia akɔ"
uploading;"repia kɔ"
upper case;""
upper;"soro"
uppercase;"apakes"
upright;""
ups;"UPS"
uptime;""
upward;""
urgent condition;""
urgent;""
uri;""
url;"URL"
usable;"tumi dedi dwuma"
usage;"di dwuma"
usb stick, memory stick;"USB"
usb;""
use markup;""
use;"fa yɛ"
used;"de yɛe"
user account;"ɔdehye akawnt"
user defined;""
user directory;""
user id / userid;"ɔdehye ahyɛnsew"
user id;""
user interface;"Nkitahodi anim"
user name;""
user profile;"ɔdehye ho nsɛm"
user-friendly;"enika ma adehye"
user;"odi dwuma bi"
username;"agodin"
users and groups;""
using;"rede"
utilities;""
utility;"utiliti"
valid chars;""
valid until;"si pi ara kɔpem"
valid;"nokware"
validate;"si pi"
validation;"validehyɛn"
validity;""
value highlighting;""
value;"aba"
values;""
variable;"vareabel"
variance;""
variation;""
vector graphics;"vɛkta grafik"
vector;""
vectorized image;""
vendor;"ɔdetɔnfo"
verbose;"vɛɛbos"
verification;"nngyetomu"
verified;"agye ato mu"
verify;"gye to mu"
verifying;"woregye atomu"
version;"vɛɛhyen"
versions;""
vertical adjustment;""
vertical alignment;""
vertical;"tentenso"
vertically;"tentenso"
vfs;""
vi improved;""
video clip;"Sini tiawa"
video conference;"video nhyiamu"
video;"Sini"
vietnamese;""
view as icons;""
view as list;""
view user log;""
view;"hwɛ"
viewed;"ahwɛ"
viewer;"hwɛfo"
viewing;"rehwɛ"
viewport;""
violate;"to mbra"
violation;"mbrato"
virtual desktop;""
virtual folder;""
virtual;"ndaɛ"
virus definition;""
virus;"vaerɔs"
visibility;""
visible;"ani hunu"
visit;"sra"
visited;"yɛasra"
visual aids;""
visual;"eniwaso"
visualization;"eniwasode"
visualizer;""
voice chat;""
voice;"nde"
voip;"VoIP"
volatile button;""
volume control;""
volume down;""
volume up;""
volume;"vɔlum"
wait;"tweɔn"
waiting;"retweɔn"
wallpaper;"ban"
wan (wide area network);"WAN (Nɛtwɛk Tɛtrɛɛ)"
want;"pɛ"
warn;"bɔ kɔkɔ"
warning;"kɔkɔbɔ"
warranty;"waranti"
watch file;""
watch;"hwɛ"
watched;"ahwɛ"
watching;"rehwɛ"
watermark;"nsu-ahyɛnsew"
way;""
weather;"wimu"
web blog;""
web browser;""
web cam;""
web layout;"wɛb nhyehyɛe"
web master;""
web page;"wɛb krataafa"
web portal;""
web search;""
web site;""
web;"wɛb"
webcam;"wɛb mfonitwafidie"
webcast;"wɛbkast"
webcasting;""
weblog;""
webmail;"wɛbmel"
webmaster;"wɛb ebusuapanin"
website;"wɛbsaet"
webtop;""
wednesday;"Wukuda"
week view;""
week;"dapɛn"
weekday;"dapɛnda"
weight;"muduru"
welcome;"akɔaba"
west;"anee"
western;""
what's this;""
when;"bere bɛn"
whenever;"bere biara"
where;"henfa"
white;"fitaa"
whitespace;"bea fufuo"
whois;""
whole;"mu"
wi fi;""
widget;"wigyɛt"
widow;""
width of the window;""
width;"tɛtrɛtɛ"
wiki;"wiki"
wild card;""
wildcard character;""
wildcard;"waelkaad"
window frame button;""
window frame;""
window group;""
window list;""
window manager;""
window position;""
window title;""
window type;""
window;"tokuro"
windows network;""
wink (smiley);""
wipe;""
wireless;"wayalɛs"
with due date;""
with status;""
with;"de"
within;"mu"
without;"nni"
wizard;"boafo"
wizards;""
wood;""
word art;""
word count;"kasafua dodow"
word processing program;""
word processor;"kasafua kyerɛw program"
word;"asɛmfua"
work around;""
work group;""
work offline;""
work station;""
work week view;""
work week;""
work;""
workbook;"adwumayɛ nhomaa"
workday;""
workgroup;"dwumadie kuw"
working directory;""
workplace;""
worksheet;"adwuma krataa"
workspace names;""
workspace switcher;""
workspace;"dwumabea"
workspaces;""
workstation;"kɔmputa-panin"
world wide web (www);""
worm;""
wrap mode;""
wrap through;""
wrap;"sian"
writable;"raetabl"
write protected;"Ano si"
write to disc;""
write;"kyerɛw"
writer;"kyerɛwfo"
writing aids;""
writing;"retwerɛ"
wrong;"ntorɔ"
wvlan;""
www / world wide web;"WWW"
x align;""
x server;""
xdmcp socket;""
xml filter settings;""
xml;""
xrandr;""
yell (smiley);""
yellow pages;""
yellow;"akokɔsrade"
yes;"yiw"
yesterday;"ndeda"
zero;"hwee"
zigzag;""
zigzagline;""
zip disk;""
zip drive;""
zip;"moa"
zone;"apaamu"
zoom in;"zuum kɔ mu"
zoom level;""
zoom out;"zuum puei"
zoom outabort;""
zoom;"zuum"
zoomed;"zuumed"
zooming;"rezuum"
